example_id,label
0,1
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,1
166,1
167,0
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,0
256,0
257,1
258,0
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,1
275,0
276,0
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,0
339,1
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,1
395,1
396,1
397,0
398,1
399,1
400,0
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,1
420,0
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,0
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,1
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,0
529,0
530,1
531,0
532,1
533,1
534,0
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,1
547,1
548,1
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,1
568,1
569,1
570,0
571,0
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,1
585,1
586,0
587,1
588,1
589,1
590,0
591,0
592,1
593,0
594,1
595,0
596,1
597,1
598,1
599,1
600,1
601,0
602,0
603,0
604,0
605,1
606,1
607,0
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,0
633,1
634,1
635,0
636,1
637,1
638,1
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,0
661,0
662,1
663,1
664,0
665,0
666,1
667,0
668,1
669,0
670,0
671,0
672,1
673,1
674,1
675,0
676,1
677,1
678,0
679,0
680,1
681,1
682,1
683,0
684,0
685,1
686,1
687,0
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,0
705,1
706,1
707,1
708,1
709,1
710,1
711,0
712,0
713,0
714,0
715,0
716,1
717,1
718,1
719,0
720,0
721,1
722,1
723,0
724,0
725,0
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,0
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,1
745,0
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,1
755,1
756,1
757,0
758,1
759,0
760,1
761,0
762,0
763,1
764,1
765,0
766,0
767,0
768,0
769,1
770,1
771,0
772,1
773,1
774,1
775,0
776,1
777,1
778,0
779,0
780,0
781,1
782,0
783,1
784,0
785,0
786,1
787,1
788,0
789,0
790,0
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,0
799,0
800,1
801,0
802,0
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,0
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,0
824,0
825,1
826,1
827,1
828,1
829,0
830,1
831,1
832,1
833,1
834,0
835,1
836,1
837,1
838,0
839,1
840,0
841,1
842,0
843,0
844,1
845,1
846,1
847,0
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,0
856,1
857,1
858,0
859,1
860,1
861,1
862,0
863,0
864,1
865,0
866,1
867,1
868,0
869,0
870,1
871,1
872,0
873,0
874,1
875,0
876,0
877,1
878,1
879,0
880,0
881,0
882,1
883,1
884,1
885,0
886,1
887,1
888,1
889,0
890,1
891,1
892,0
893,0
894,1
895,1
896,0
897,1
898,0
899,0
900,1
901,1
902,0
903,1
904,1
905,0
906,1
907,1
908,1
909,1
910,1
911,0
912,0
913,0
914,0
915,1
916,0
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,0
925,0
926,1
927,1
928,0
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,0
937,0
938,0
939,0
940,1
941,0
942,1
943,1
944,0
945,1
946,0
947,0
948,0
949,1
950,0
951,0
952,1
953,1
954,1
955,0
956,0
957,1
958,1
959,0
960,0
961,0
962,0
963,1
964,1
965,1
966,0
967,1
968,1
969,0
970,1
971,0
972,1
973,0
974,0
975,0
976,1
977,1
978,0
979,1
980,0
981,0
982,1
983,1
984,0
985,1
986,1
987,1
988,1
989,0
990,1
991,1
992,0
993,0
994,1
995,1
996,1
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,1
1015,0
1016,1
1017,1
1018,0
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,1
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,0
1037,1
1038,1
1039,1
1040,1
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,1
1049,1
1050,0
1051,1
1052,0
1053,0
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,0
1061,1
1062,0
1063,1
1064,0
1065,0
1066,1
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,1
1080,1
1081,0
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,0
1089,1
1090,1
1091,0
1092,1
1093,1
1094,1
1095,1
1096,1
1097,0
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,1
1105,0
1106,1
1107,1
1108,0
1109,1
1110,0
1111,0
1112,1
1113,0
1114,0
1115,1
1116,0
1117,1
1118,1
1119,1
1120,0
1121,1
1122,0
1123,1
1124,0
1125,1
1126,1
1127,0
1128,0
1129,0
1130,1
1131,0
1132,0
1133,0
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,0
1146,1
1147,1
1148,1
1149,1
1150,0
1151,1
1152,1
1153,0
1154,0
1155,0
1156,0
1157,1
1158,1
1159,1
1160,0
1161,1
1162,0
1163,0
1164,1
1165,0
1166,1
1167,0
1168,0
1169,1
1170,1
1171,1
1172,0
1173,0
1174,1
1175,1
1176,1
1177,0
1178,1
1179,0
1180,0
1181,0
1182,1
1183,1
1184,1
1185,1
1186,0
1187,1
1188,1
1189,1
1190,0
1191,0
1192,0
1193,1
1194,0
1195,0
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,0
1205,0
1206,1
1207,1
1208,1
1209,0
1210,0
1211,1
1212,1
1213,0
1214,0
1215,1
1216,0
1217,0
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,0
1225,0
1226,1
1227,0
1228,1
1229,0
